epoch,negative_elbo
1,7199.313289475361
2,7159.535248651973
3,7136.014930415067
4,7122.342308140021
5,7109.3760648485095
epoch,negative_elbo
1,159449.77652677184
2,102802.88605647699
3,85603.85088082073
4,53691.897622066244
5,12443.399213695939
6,10120.725388793397
7,8876.584621599353
8,8355.659543100306
9,8097.678021627011
10,7955.814196780911
11,7855.301311212499
12,7803.8864649220795
13,7751.955539406172
14,7707.500071086917
15,7668.234535316574
16,7634.087169512859
17,7599.008005422373
18,7562.025635602084
19,7534.634141573274
20,7502.810914404062
21,7480.521328147026
22,7449.545161060775
23,7425.734022713519
24,7394.911780065733
25,7369.047872781769
26,7350.026758751753
27,7327.839613119442
28,7306.403682210438
29,7288.004687454233
30,7272.562207304698
31,7248.880331797865
32,7236.748300997365
33,7220.376880440846
34,7200.527214445912
35,7191.684260176011
36,7180.128285678131
37,7167.260193653237
38,7158.201593018365
39,7147.395562605134
40,7135.650692320987
41,7120.169384313813
42,7113.311413398022
43,7105.9878349248675
44,7093.629049862689
45,7093.65753351524
46,7080.718895757011
47,7078.028699602379
48,7066.654825631837
49,7058.560840570525
50,7048.761944105423
epoch,negative_elbo
1,45665.329707890596
2,41326.09633577085
3,38704.51042311119
4,38350.82020985263
5,37446.815754514944
6,37223.773205546604
7,36708.80111597841
8,36470.0846321019
9,36356.00395168979
10,36306.655427475715
epoch,negative_elbo
1,60628.07224072492
2,33325.27526643219
3,27595.349722980307
4,26858.754519409737
5,26585.64144771623
6,26168.711735996047
7,25615.4857465886
8,20244.295617553405
9,11845.949414719298
10,10036.592573927759
epoch,negative_elbo
1,62344.27095642175
2,53397.588699619955
3,47047.55097380518
4,42944.33761070726
5,39638.329787591654
6,36574.84626258819
7,33734.32320764834
8,34089.68663273582
9,34453.963969850265
10,31732.852903250783
epoch,negative_elbo
1,61076.18282746755
2,52507.228224830484
3,47143.77479689581
4,43057.07498679396
5,39530.46740760664
6,36317.50385221018
7,35298.04108192099
8,33277.46797266083
9,31637.14956804926
10,28769.323796704513
11,27842.597094001252
12,27378.320401026056
13,27249.177582950284
14,27141.060411848186
15,27096.78563492089
16,27084.478891473253
17,27074.99836447942
18,27066.914040896478
19,27063.315101527664
20,27060.839678346783
epoch,negative_elbo
1,134311.49643435917
2,87348.0982487458
3,77702.41634864491
4,17002.352136708472
5,12711.523591435442
6,11570.435648931296
7,10855.31961559462
8,10291.937620290637
9,9872.431114712812
10,9533.308637045626
11,9230.642968907872
12,8987.698507364274
13,8785.125734347905
14,8601.64675019824
15,8428.91237410435
16,8286.884096080437
17,8157.980508162984
18,8030.941682213145
19,7899.424281724484
20,7755.46280960763
epoch,negative_elbo
1,20159.729548054795
2,19729.93257989169
3,19644.586570778232
4,19626.516137225994
5,19616.79485594348
6,19609.802156561887
7,19606.974101215696
8,19604.15007802931
9,19602.123222146667
10,19600.948232907114
11,19600.532512655467
12,19600.02130597693
13,19596.238412026734
14,19594.877282162808
15,19597.051162113676
16,19595.56680181332
17,19592.84112820865
18,19594.320952258728
19,19593.97025011993
20,19592.158166380963
epoch,negative_elbo
1,127780.79592698472
2,82141.64467121229
3,76406.36683992247
4,34500.534086082764
5,13527.096501519354
6,12155.541943136974
7,11414.012293587022
8,10880.110562656168
9,10475.333755098929
10,10152.307342101716
